Year,Jan,,,,,,,,,,,,,
1960,29.37,,,,,,,,,,,,,
1961,29.84,,,,,,,,,,,,,
1962,30.04,,,,,,,,,,,,,
1963,30.44,,,,,,,,,,,,,
1964,30.94,,,,,,,,,,,,,
1965,31.28,,,,,,,,,,,,,
1966,31.88,,,,,,,,,,,,,
1967,32.90,,,,,,,,,,,,,
1968,34.10,,,,,,,,,,,,,
1969,35.70,,,,,,,,,,,,,
1970,37.90,,,,,,,,,,,,,
1971,39.90,,,,,,,,,,,,,
1972,41.20,,,,,,,,,,,,,
1973,42.70,,,,,,,,,,,,,
1974,46.80,,,,,,,,,,,,,
1975,52.30,,,,,,,,,,,,,
1976,55.80,,,,,,,,,,,,,
1977,58.70,,,,,,,,,,,,,
1978,62.70,,,,,,,,,,,,,
1979,68.50,,,,,,,,,,,,,
1980,78.00,,,,,,,,,,,,,
1981,87.20,,,,,,,,,,,,,
1982,94.40,,,,,,,,,,,,,
1983,97.90,,,,,,,,,,,,,
1984,102.10,,,,,,,,,,,,,
1985,105.70,,,,,,,,,,,,,
1986,109.90,,,,,,,,,,,,,
1987,111.40,,,,,,,,,,,,,
1988,116.00,,,,,,,,,,,,,
1989,121.20,,,,,,,,,,,,,
1990,127.50,,,,,,,,,,,,,
1991,134.70,,,,,,,,,,,,,
1992,138.30,,,,,,,,,,,,,
1993,142.80,,,,,,,,,,,,,
1994,146.30,,,,,,,,,,,,,
1995,150.50,,,,,,,,,,,,,
1996,154.70,,,,,,,,,,,,,
1997,159.40,,,,,,,,,,,,,
1998,162.00,,,,,,,,,,,,,
1999,164.70,,,,,,,,,,,,,
2000,169.30,,,,,,,,,,,,,
2001,175.60,,,,,,,,,,,,,
2002,177.7,,,,,,,,,,,,,
2003,182.6,,,,,,,,,,,,,
2004,186.3,,,,,,,,,,,,,
2005,191.6,,,,,,,,,,,,,
2006,199.3,,,,,,,,,,,,,
2007,203.437,,,,,,,,,,,,,
2008,212.174,,,,,,,,,,,,,
2009,211.933,,,,,,,,,,,,,
2010,217.488,,,,,,,,,,,,,
2011,221.187,,,,,,,,,,,,,
2012,227.842,,,,,,,,,,,,,
2013,231.679,,,,,,,,,,,,,
2014,235.288,,,,,,,,,,,,,
2015,234.747,,,,,,,,,,,,,
2016,237.652,,,,,,,,,,,,,
2017,243.618,,,,,,,,,,,,,
2018,248.743,,,,,,,,,,,,,
2019,252.470,,,,,,,,,,,,,
2020,258.682,,,,,,,,,,,,,
2021,262.200,,,,,,,,,,,,,
2022,281.933,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,